Threshold,Accuracy,Precision,Recall,F1-Score
0.1,0.980039324461922,0.07313064913722268,0.9081632653061225,0.13536121673003804
0.15000000000000002,0.9898528843790597,0.135258358662614,0.9081632653061225,0.23544973544973544
0.20000000000000004,0.9940662195849865,0.21153846153846154,0.8979591836734694,0.3424124513618677
0.25000000000000006,0.9959622204276535,0.2857142857142857,0.8979591836734694,0.43349753694581283
0.30000000000000004,0.9971735542993575,0.3682008368200837,0.8979591836734694,0.5222551928783383
0.3500000000000001,0.9977704434535304,0.4292682926829268,0.8979591836734694,0.5808580858085809
0.40000000000000013,0.9982268881008391,0.4915254237288136,0.8877551020408163,0.6327272727272727
0.45000000000000007,0.9986482216214319,0.5695364238410596,0.8775510204081632,0.6907630522088354
0.5000000000000001,0.9989466661985184,0.6461538461538462,0.8571428571428571,0.7368421052631579
0.5500000000000002,0.9990871107053826,0.6916666666666667,0.8469387755102041,0.7614678899082569
0.6000000000000002,0.9991924440855307,0.7321428571428571,0.8367346938775511,0.780952380952381
0.6500000000000001,0.9992977774656788,0.7735849056603774,0.8367346938775511,0.803921568627451
0.7000000000000002,0.9993153330290369,0.7920792079207921,0.8163265306122449,0.8040201005025126
0.7500000000000002,0.9993679997191109,0.8297872340425532,0.7959183673469388,0.8125
0.8000000000000002,0.9994557775359011,0.8850574712643678,0.7857142857142857,0.8324324324324325
0.8500000000000002,0.9994382219725431,0.8928571428571429,0.7653061224489796,0.8241758241758241
0.9000000000000002,0.999403110845827,0.9,0.7346938775510204,0.8089887640449438
0.9500000000000003,0.999385555282469,0.9565217391304348,0.673469387755102,0.7904191616766467
